﻿﻿menus_continue,Continue
menus_load_game,Charger partie
menus_new_game,Nouvelle partie
menus_quit_game,Quitter
menus_name,Nom
menus_badges,Badges
menus_badge,Badge
menus_location,Location
menus_money,Argent
menus_time,Temps
menus_points,Points
menus_delete,Supprimer
menus_cancel,Annuler
menus_pokedex,Pokédex
menus_ok,Ok
menus_yes,Oui
menus_no,Non
menus_clear,Clear
menus_back,Retour
menus_load,Charger
menus_back_to_game,Retour au jeu
menus_disconnect,Déconnexion
menus_quit_to_menu,Retour au menu
menus_item,Objet
menus_items,Objet:
menus_summary,Sommaire
menus_switch,Changer
menus_give,Donner
menus_take,Prendre
menus_close_instructions,Appuyer sur E pour sortir du menu
menus_back_instructions,Appuyer sur E pour un retour en arrière
menus_bag,Sac
menus_empty,Vide
menus_description,Description:
pause_menu_title,Menu
main_menu_delete_confirm,Veut tu vraiment supprimer la sauvegarde?
game_message_close_connection,Tu as fermé la partie en co-op.
game_message_disconnect,Tu es déconnecté de l'hôte.
game_message_screenshot_saved,Screenshot sauvergardé
game_message_full_screen_on,Mode pleine écran
game_message_full_screen_off,Mode fenêtré
black_out_screen_1,Tout tes POKémon sont évanouis!
black_out_screen_2,Tu va être transporté
black_out_screen_3,au plus proche centre POKéMON
black_out_screen_4,pour soigner les blesures
black_out_screen_5,de tes POkéMON.
battle_pokemon_catch_1,Gotcha!~
battle_pokemon_catch_2,est attrapé!
battle_pokemon_catch_3,les informations~sont ajoutées au Pokédex.
battle_pokemon_catch_4,~est transféré dans une boite
battle_pokemon_catch_5,~sur ton PC.
battle_pokeball_throw,<playername> utilise
battle_pokemon_info_back,Retour
donation_screen_title,Mecènes:
apricorns_screen_title,Noigrume
apricorns_screen_busy_1,Je suis entrain de fabriquer des BALL en ce moment.
apricorns_screen_busy_2,Reviens plus tard.
apricorns_screen_choose,Choisis les Noigrumes que tu veux que je transforme en Pokéballs.
apricorns_screen_ready,J'ai finis mon travail et voici le résultat:
item_detail_screen_give,Donner
item_detail_screen_use,Utiliser
item_detail_screen_trash,Jeter
item_detail_screen_back,Retour
give_item_to_pokemon1,donner
give_item_to_pokemon2,à~
give_item_to_pokemon3,~remettre dans
give_item_to_pokemon4,~l'inventaire.
pokedex_sidebar_seen,Vus:
pokedex_sidebar_obtained,Pris:
pokedex_sidebar_rare,Rare:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Sac
game_menu_trainer_card,<playername>
game_menu_save,Sauvegarde
game_menu_options,Options
game_menu_exit,Retour
intro_line_1,Bonjour!~Désolé de l'attente!*Bienvenu dans le monde~des POkéMON!*Mon nom est CHEN.~Mais on m'appelle le~PROF.POKéMON*Ce monde est peuplé de créature appelées POKéMON.
