menus_continue,Fortsett
menus_load_game,Siste spill
menus_new_game,Nytt spill
menus_quit_game,Avslutt spill
menus_name,Navn
menus_badges,Medaljer
menus_badge,Medalje
menus_location,Lokasjon
menus_money,Penger
menus_time,Tid
menus_points,Poeng
menus_delete,Slett
menus_cancel,Avbryt
menus_pokedex,Pokédex
menus_ok,Ok
menus_yes,Ja
menus_no,No
menus_clear,Fjern
menus_back,Tilbake
menus_load,Last
menus_back_to_game,Tilbake til spillet
menus_disconnect,Koble fra
menus_quit_to_menu,Avslutt til menyen
menus_item,Element
menus_items,Elementer:
menus_summary,Sammendrag
menus_switch,Bryter
menus_give,Gi
menus_take,Ta
menus_close_instructions,Trykk E for å lukke
menus_back_instructions,Trykk E for å gå tilbake
menus_bag,Sekk
menus_empty,Tom
menus_description,Beskrivelse:
menus_generation,Generasjon
menus_version,Versjon
pause_menu_title,Spill menyen
main_menu_delete_confirm,Vil du virkelig slette det lagrede spillet
game_message_close_connection,Du lukket flerspiller spillet.
game_message_disconnect,Koblet deg fra verten.
game_message_screenshot_saved,Skjermbildet lagret som
game_message_full_screen_on,Fullskjerm på
game_message_full_screen_off,Fullskjerm av
black_out_screen_1,Du har ikke flere Pokémon!
black_out_screen_2,Du vil du bli brakt
black_out_screen_3,til det nærmeste PokéSenteret
black_out_screen_4,for å hindre ytterligere skade
black_out_screen_5,til dine Pokémon.
battle_pokemon_catch_1,Gotcha!~
battle_pokemon_catch_2,ble fanget!
battle_pokemon_catch_3,data ble~lagt til Pokédex.
battle_pokemon_catch_4,~Det ble overført til Box
battle_pokemon_catch_5,~på PC'en.
battle_pokeball_throw,<playername> brukte en
battle_pokemon_info_back,Tilbake
donation_screen_title,Donators:
apricorns_screen_title,Apricorns
apricorns_screen_busy_1,Jeg produserer Pokéballer akuratt nå.
apricorns_screen_busy_2,Kom tilbake senere.
apricorns_screen_choose,Vennligst velg Apricorns jeg bør ta for å produsere Pokéballer.
apricorns_screen_ready,Jeg er klar for å produsere Pokéballer. Her er resultatet av arbeidet mitt:
item_detail_screen_give,Gi
item_detail_screen_use,Bruk
item_detail_screen_trash,Forkast
item_detail_screen_back,Tilbake
give_item_to_pokemon1,Gitt
give_item_to_pokemon2,til~
give_item_to_pokemon3,~og satt
give_item_to_pokemon4,~tilbake til varelageret.
pokedex_sidebar_seen,Sett:
pokedex_sidebar_obtained,Innhentet:
pokedex_sidebar_rare,Sjeldenhet:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Sekk
game_menu_trainer_card,<playername>
game_menu_save,Lagre
game_menu_options,Alternativer
game_menu_exit,Exit Meny
intro_line_1,Hei!~Beklager å holde~deg ventende! Velkommen til~Pokémon verdenen!*Mitt navn er Oak.~Folk kaller meg~Pokémon Prof.*Denne verdenen er bebodd~av skapninger som~vi kaller
intro_line_2,Pokémon.*Mennesker og Pokémon lever~sammen ved å støtte~hverandre.~Noen spiller med~Pokémon,~noen kjemper med dem.*Men vi vet ikke~alt om~Pokémon ennå.~Det er fortsatt mange~mysterier å løse.*Det er derfor jeg studerer~Pokémon hver dag.*Nå, hva var det du~sa at du het?
intro_line_3,~er du klar?*Din egen~Pokémon historie kommer snart til~å utfolde seg.*Du vil møte fine~tider og tøffe~utfordringer.~En verden av drømmer og~opplevelser med Pokémon~venter!*La oss gå!*Jeg ser~deg senere!
intro_name_prompt,Ditt navn:
intro_skin_prompt,Velg person:
intro_bad_name,Dette navnet er for kort
intro_reaction_weird,*Hm det der er et~rart navn.
intro_reaction_known,*Hm jeg er sikker på at jeg~hørt dette navnet før.
intro_reaction_same,Hei vi fikk~samme navn.*Mitt navn er også~
intro_reaction_base,Okei! Så navnet ditt er~
options_screen_title,Alternativer
options_screen_not_saved_warning,Noen av alternativene er ikke lagret ennå, bla ned og velg "Lagre alternativer."
options_screen_textspeed,Tekst hastighet
options_screen_textspeed_description_1,Hastigheten tekstboksen dukker opp og
options_screen_textspeed_description_2,viser teksten.
options_screen_fov,FOV
options_screen_fov_description_1,Synsfelt. Jo høyere verdien er,
options_screen_fov_description_2,jo mer kan du se.
options_screen_fov_description_3,Advarsel: For stor verdi kan føre til forsinkelser i større kart.
options_screen_mousespeed,Mus hastighet
options_screen_mousespeed_description_1,setter muse hastigheten der
options_screen_mousespeed_description_2,musa roterer visningen.
options_screen_volume,Volum
options_screen_volume_description_1,Volumet av bakgrunnsmusikken.
options_screen_volume_description_2,Dette er innstillinger for alle unntatt stater.
options_screen_renderdistance_tiny,Liten
options_screen_renderdistance_short,Kort
options_screen_renderdistance_normal,Normal
options_screen_renderdistance_far,Lang
options_screen_renderdistance_extreme,Ekstrem
options_screen_renderdistance,Render Distance
options_screen_renderdistance_description_1,Render Distance bestemmer,
options_screen_renderdistance_description_2,hvor langt du kan se.
options_screen_renderdistance_description_3,Ved å slå dette ned, kan du forbedre FPS.
options_screen_graphicsstyle_fast,Raskt
options_screen_graphicsstyle_fancy,Pent
options_screen_graphicsstyle,Grafikk
options_screen_graphicsstyle_description_1,Påvirker hvis noen objekter gjengis
options_screen_graphicsstyle_description_2,eller ikke. Ved å slå dette ned, kan du forbedre FPS.
options_screen_graphicsstyle_description_3,Denne innstillingen gjelder for alle lagrede spill.
options_screen_showbattleanimations,Animasjoner i kamp
options_screen_showbattleanimations_description,Bestemmer hvis spillet viser kampanimasjoner.
options_screen_difficulty,Vanskelighetsgrad
options_screen_difficulty_description_1,Vanskelighetsgrad modus
options_screen_difficulty_description_2,Setter vanskelighetsgraden.
options_screen_resetoptions,Tilbakestill alternativer.
options_screen_resetoptions_description,Tilbakestill alle alternativer.
options_screen_saveoptions,Lagre alternativer.
options_screen_saveoptions_description,Lagre alternativene og lukke menyen.
options_screen_closeoptions,Lukk menyen.
options_screen_closeoptions_description_1,Lukk menyen og ikke lagre
options_screen_closeoptions_description_2,endringene.
options_screen_decription_title,Beskrivelse
save_screen_saved,Lagret spillet.
save_screen_prompt,Vil du lagre spillet?
trade_screen_buy_for,Kjøp for
trade_screen_sell_for,Selg for
trade_screen_your_money,Dine penger
trade_screen_price,Pris
trade_screen_buy,Kjøp
trade_screen_sell,Selg
trade_screen_cannot_trade,kan ikke byttes.
trade_screen_drop_item,Slipp objektet her.
trainer_card_screen_title,Trener kort
trainer_card_collected_badges,Innsamlede medaljer
battle_message_sent_out,sendte ut~
battle_message_sent_out_switch_1,handler om~å sende ut~
battle_message_sent_out_switch_2,~Vil du bytte~dine Pokémon?
battle_message_choose_pokemon,Velg Pokémon
battle_message_wild_encounter_1,En vill
battle_message_wild_encounter_2,~dukket opp!
battle_message_trainer_encounter,ønsker~en Pokémon kamp!
battle_message_pokemon_go,Gå!
battle_message_trainer_defeat_1,ble~beseiret!*
battle_message_trainer_defeat_2,fikk
battle_message_trainer_defeat_3,~PokéDollar for å vinne!
battle_message_pokemon_return_1,Kom tilbake,~
battle_message_pokemon_return_2,Godt jobbet,~
battle_message_pokemon_return_3_1,Bra jobbet
battle_message_pokemon_return_3_2,~Kom tilbake.
battle_message_pokemon_return_4_1,Du har vært fantastisk,~
battle_message_pokemon_return_4_2,~Kom tilbake!
battle_message_pokemon_return_5,Bra jobbet.~Kom tilbake.
battle_message_pokemon_return_6,Kom tilbake,~
battle_message_run_success,Du slapp unna trygt!
